Transaction Name,Acquiree Name,Acquirer Name,Announced Date,Price,Acquisition Type,Acquisition Terms,Acquiree Description,Acquiree Last Funding Type,Acquiree Industries,Acquiree Headquarters Location,Acquiree's Estimated Revenue Range,Acquiree's Total Funding Amount,Acquiree Funding Status,Acquiree's Number of Funding Rounds,Acquirer's Description,Acquirer Industries,Acquirer Headquarters Location,Acquirer's Estimated Revenue Range,Acquirer's Total Funding Amount,Acquirer Funding Status,Acquirer's Number of Funding Rounds
PowderMed acquired by Pfizer,PowderMed,Pfizer,"Oct 9, 2006",—,Acquisition,—,PowderMed developed the Particle Mediated Epidermal Delivery (PMED) technology.,—,"Medical, Therapeutics","Oxford, Oxfordshire, United Kingdom",—,"£20,000,000",M&A,1,Pfizer is a pharmaceuticals and biotechnology company.,"Biotechnology, Health Care, Medical, Pharmaceutical","New York, New York, United States",—,—,IPO,—
ICAgen acquired by Pfizer,ICAgen,Pfizer,"Jul 19, 2011","$56,000,000",Acquisition,Cash & Stock,"ICAgen, a biopharmaceutical company, develops novel orally-administered small molecule drugs that modulate ion channel targets.",—,"Biotechnology, Health Care, Medical","Durham, North Carolina, United States",—,"$29,492,950",M&A,7,Pfizer is a pharmaceuticals and biotechnology company.,"Biotechnology, Health Care, Medical, Pharmaceutical","New York, New York, United States",—,—,IPO,—
CSR acquired by Qualcomm,CSR,Qualcomm,"Oct 14, 2014","$2,400,000,000",Acquisition,Cash,CSR is a designer and developer of silicon and software for the consumer electronics market.,—,"Consumer Electronics, Hardware, Software, Wireless","Cambridge, Cambridgeshire, United Kingdom",—,"$53,011,258",M&A,3,"Qualcomm designs, manufactures, and markets digital wireless telecommunications products and services.","Manufacturing, Mobile, Telecommunications, Wireless","San Diego, California, United States",—,—,IPO,—
Medivation acquired by Pfizer,Medivation,Pfizer,"Aug 22, 2016","$14,000,000,000",Acquisition,—,"Medivation, Inc. is a biopharmaceutical company focused on the rapid development of small molecule drugs to treat serious diseases",—,"Biopharma, Biotechnology, Pharmaceutical","San Francisco, California, United States",—,—,M&A,1,Pfizer is a pharmaceuticals and biotechnology company.,"Biotechnology, Health Care, Medical, Pharmaceutical","New York, New York, United States",—,—,IPO,—
InnoPath Software acquired by Qualcomm,InnoPath Software,Qualcomm,"Jun 7, 2016","$10,000,000",—,—,innoPath Software provides mobile device management technology to wireless operators and mobile device manufacturers.,—,"iOS, Mobile, Mobile Devices, Security, Software, Wireless","Sunnyvale, California, United States",—,"$50,455,000",M&A,5,"Qualcomm designs, manufactures, and markets digital wireless telecommunications products and services.","Manufacturing, Mobile, Telecommunications, Wireless","San Diego, California, United States",—,—,IPO,—
Velcera acquired by Perrigo,Velcera,Perrigo,"Feb 1, 2013",—,—,—,Specialty pharmaceutical company,—,"Biotechnology, Manufacturing, Therapeutics","Yardley, Pennsylvania, United States",—,—,M&A,—,"Providing the world with quality, affordable healthcare products.","Biotechnology, Manufacturing, Pharmaceutical","Dublin, Dublin, Ireland",—,"$600,000,000",IPO,1
"The WMF Group, Ltd. acquired by Prudential Financial","The WMF Group, Ltd.",Prudential Financial,"May 1, 2000",—,Acquisition,—,"The WMF Group, Ltd., provides commercial mortgage financial services.",—,Financial Services,"Vienna, West Virginia, United States",—,—,M&A,—,"Leveraging its heritage of life insurance and asset management expertise, Prudential is focused on helping people. Revenue is ranging 498M.","Finance, Financial Exchanges, Financial Services, Insurance","Newark, New Jersey, United States",—,—,IPO,—
Manuel Bros acquired by Quanta Services,Manuel Bros,Quanta Services,"Oct 30, 1998",—,Acquisition,—,"Manuel Bros. Inc., headquartered in Grass Valley, Calif., provides specialty contracting services to the telecommunications industry.",—,Telecommunications,"Grass Valley, California, United States",—,—,M&A,—,"Quanta Services provides engineering, procurement and construction (EPC) services for comprehensive infrastructure needs.","Construction, CRM, Energy, Information Technology, Oil and Gas","Houston, Texas, United States",—,"$207,900,000",IPO,2
Orb Networks acquired by Qualcomm,Orb Networks,Qualcomm,"Aug 21, 2013",—,Acquisition,—,Orb Networks provides digital media streaming solutions for digital home and remote access applications.,—,"Digital Media, Software","Oakland, California, United States",—,"$4,000,000",M&A,1,"Qualcomm designs, manufactures, and markets digital wireless telecommunications products and services.","Manufacturing, Mobile, Telecommunications, Wireless","San Diego, California, United States",—,—,IPO,—
LabOne acquired by Quest Diagnostics,LabOne,Quest Diagnostics,"Aug 8, 2005",—,Acquisition,—,"LabOne, Inc. offers medical laboratory services.",—,Health Care,"Lenexa, Kansas, United States",—,—,M&A,—,"Quest Diagnostics is the world's leading provider of diagnostic testing, information and services that patients and doctors need to make","Health Care, Health Diagnostics, Information Services","Madison, New Jersey, United States",—,—,IPO,—
Stacy's Pita Chip Company acquired by PepsiCo,Stacy's Pita Chip Company,PepsiCo,"Jan 12, 2006",—,Acquisition,—,A social worker and a psychologist with a passion for good food and a commitment to healthy living.,—,"Agriculture, Communities, Food and Beverage, Health Care, Lifestyle","Randolph, Massachusetts, United States",—,—,M&A,—,PepsiCo operates as a food and beverage company worldwide.,"Brand Marketing, Fast-Moving Consumer Goods, Food and Beverage, Food Processing, Hospitality, Manufacturing","New York, New York, United States",—,—,IPO,—
ScarAway acquired by Perrigo,ScarAway,Perrigo,"Sep 9, 2015",—,Acquisition,—,An OTC scar management brand,—,"Health Care, Medical Device","Suwanee, Georgia, United States",—,—,M&A,—,"Providing the world with quality, affordable healthcare products.","Biotechnology, Manufacturing, Pharmaceutical","Dublin, Dublin, Ireland",—,"$600,000,000",IPO,1
Qualphone acquired by Qualcomm,Qualphone,Qualcomm,"Aug 21, 2006",—,Acquisition,—,"Qualphone, a maker of Internet-based multimedia software, the companies announced Friday.",—,Software,"San Diego, California, United States",—,—,M&A,—,"Qualcomm designs, manufactures, and markets digital wireless telecommunications products and services.","Manufacturing, Mobile, Telecommunications, Wireless","San Diego, California, United States",—,—,IPO,—
Redvax acquired by Pfizer,Redvax,Pfizer,"Jan 5, 2015",—,Acquisition,—,A privately held Swiss biopharmaceutical company.,—,"Biopharma, Health Care, Medical","Schlieren, Zurich, Switzerland",—,—,M&A,1,Pfizer is a pharmaceuticals and biotechnology company.,"Biotechnology, Health Care, Medical, Pharmaceutical","New York, New York, United States",—,—,IPO,—
nPhase acquired by Qualcomm,nPhase,Qualcomm,"Nov 16, 2006",—,Acquisition,—,"nPhase provides advanced M2M cloud platform services to enterprise customers focused on data reliability, coverage, security, and more.",—,"Cloud Computing, Information Technology, Security","San Diego, California, United States",—,—,M&A,2,"Qualcomm designs, manufactures, and markets digital wireless telecommunications products and services.","Manufacturing, Mobile, Telecommunications, Wireless","San Diego, California, United States",—,—,IPO,—
Safari Energy acquired by PPL Corporation,Safari Energy,PPL Corporation,"May 31, 2018",—,Acquisition,—,Safari Energy is a provider of solar energy solutions for commercial customers.,—,"Energy, Renewable Energy, Solar","New York, New York, United States",—,—,M&A,—,"PPL Corporation delivers on its promises to customers, investors, employees and the communities we serve.","Electrical Distribution, Energy, Marketing","Allentown, Pennsylvania, United States",—,—,M&A,—
Cape Cod Healthcare - Business acquired by Quest Diagnostics,Cape Cod Healthcare - Business,Quest Diagnostics,"Jun 28, 2017",—,Acquisition,—,Cape Cod Healthcare - Business includes laboratory services.,—,Health Care,"Hyannis, Massachusetts, United States",—,—,M&A,—,"Quest Diagnostics is the world's leading provider of diagnostic testing, information and services that patients and doctors need to make","Health Care, Health Diagnostics, Information Services","Madison, New Jersey, United States",—,—,IPO,—
iZettle acquired by PayPal,iZettle,PayPal,"May 17, 2018","$2,200,000,000",Acquisition,Cash,"iZettle, a mobile payments company, offers small businesses with portable point-of-sale solutions and free sales overview tools.",—,"Financial Services, FinTech, Mobile Payments, Point of Sale, Software","Stockholm, Stockholms Lan, Sweden",—,"€273,199,999",M&A,10,PayPal provides online payment solutions to its users worldwide.,"E-Commerce, E-Commerce Platforms, Finance, FinTech, Mobile Payments, Payments, Transaction Processing","San Jose, California, United States",—,"$216,000,000",M&A,5
The Art of Shaving acquired by Procter & Gamble Company,The Art of Shaving,Procter & Gamble Company,"Jun 1, 2009",—,Acquisition,—,The Art of Shaving is considered the world’s leading premium shaving brand with its aromatherapy-based grooming products.,—,"Art, Consumer Software","Miami, Florida, United States",—,—,M&A,—,Procter & Gamble Company is an American multi-national consumer goods corporation.,"Beauty, Brand Marketing, Consumer, Consumer Goods, Cosmetics, Nutrition, Pet, Pharmaceutical","Cincinnati, Ohio, United States",—,—,IPO,—
National City Corporation. acquired by PNC Financial Services Group,National City Corporation.,PNC Financial Services Group,"Oct 24, 2008",—,—,—,Regional Banking Co-operation,—,"Banking, Finance","Cleveland, Ohio, United States",—,—,M&A,—,"PNC Financial Services Group, Inc. is one of the nation's largest diversified financial services organizations providing banking.","Banking, Finance, Financial Services","Pittsburgh, Pennsylvania, United States",—,—,IPO,—
Qualcomm Atheros acquired by Qualcomm,Qualcomm Atheros,Qualcomm,"Jan 5, 2011",—,Acquisition,Stock,"Qualcomm Atheros offers semiconductor system solutions for the mobile, networking, computing and consumer electronics markets.",—,"Hardware, Semiconductor, Telecommunications, Wireless","Santa Clara, California, United States",—,—,M&A,—,"Qualcomm designs, manufactures, and markets digital wireless telecommunications products and services.","Manufacturing, Mobile, Telecommunications, Wireless","San Diego, California, United States",—,—,IPO,—
Tommy Hilfiger acquired by PVH,Tommy Hilfiger,PVH,"Mar 15, 2010",—,Acquisition,—,Tommy Hilfiger is one of the world’s leading designer lifestyle brands.,—,"Fashion, Lifestyle, Retail, Textiles, Wearables","Amsterdam, Noord-Holland, The Netherlands",—,—,M&A,—,"A company transformed, focused on global growth and brand building, while staying true to our core values.","Children, Fashion, Women's","New City, New York, United States",—,—,IPO,—
"Utilco, Inc. acquired by Quanta Services","Utilco, Inc.",Quanta Services,"Jul 26, 1999",—,Acquisition,—,"Utilco, Inc. provides specialty electrical services including installation, maintenance and emergency repair of transmission lines.",—,"Construction, Electrical Distribution","Tifton, Georgia, United States",—,—,M&A,—,"Quanta Services provides engineering, procurement and construction (EPC) services for comprehensive infrastructure needs.","Construction, CRM, Energy, Information Technology, Oil and Gas","Houston, Texas, United States",—,"$207,900,000",IPO,2
Polo acquired by Ralph Lauren Corporation,Polo,Ralph Lauren Corporation,"Mar 29, 2007",—,Acquisition,—,Polo has always been about selling quality products by creating worlds and inviting our customers to be part of our dream.,—,"E-Commerce, Shopping","New York, New York, United States",—,—,M&A,—,"Ralph Lauren Corporation works for the design, marketing and distribution of premium lifestyle products.","Fashion, Lifestyle, Manufacturing, Marketing, Retail, Sporting Goods, Sports","New York, New York, United States",—,—,IPO,—
Painter's Supply acquired by PPG Industries,Painter's Supply,PPG Industries,"Jun 2, 2014",—,Acquisition,—,"At Painter's Supply, we are proud to provide a wide selection of paint, stains, and other ways to beautify your home in Connecticut or",—,Art,"Bridgeport, Connecticut, United States",—,—,M&A,—,"PPG Industries is an American global supplier of paints, coatings, optical products, specialty materials, chemicals, glass, and fiberglass.","Advanced Materials, Chemical, Industrial, Manufacturing","Pittsburgh, Pennsylvania, United States",—,"$2,100,000",IPO,1
